"","subject","action","acceleration_measurements","mean_value"
"1","2","WALKING","meanAccelerationXaxis",0.276426586440678
"2","4","WALKING","meanAccelerationXaxis",0.278582015166667
"3","9","WALKING","meanAccelerationXaxis",0.278502842115385
"4","10","WALKING","meanAccelerationXaxis",0.278574076603774
"5","12","WALKING","meanAccelerationXaxis",0.2771286656
"6","13","WALKING","meanAccelerationXaxis",0.275883130350877
"7","18","WALKING","meanAccelerationXaxis",0.273887758571429
"8","20","WALKING","meanAccelerationXaxis",0.272589336470588
"9","24","WALKING","meanAccelerationXaxis",0.276980816034483
"10","1","WALKING","meanAccelerationXaxis",0.277330758736842
"11","3","WALKING","meanAccelerationXaxis",0.275567462068966
"12","5","WALKING","meanAccelerationXaxis",0.27784234625
"13","6","WALKING","meanAccelerationXaxis",0.283658868070175
"14","7","WALKING","meanAccelerationXaxis",0.275592961754386
"15","8","WALKING","meanAccelerationXaxis",0.27468631
"16","11","WALKING","meanAccelerationXaxis",0.271821892881356
"17","14","WALKING","meanAccelerationXaxis",0.271959598644068
"18","15","WALKING","meanAccelerationXaxis",0.273899207962963
"19","16","WALKING","meanAccelerationXaxis",0.276023564509804
"20","17","WALKING","meanAccelerationXaxis",0.272341855245902
"21","19","WALKING","meanAccelerationXaxis",0.273931172307692
"22","21","WALKING","meanAccelerationXaxis",0.279183526730769
"23","22","WALKING","meanAccelerationXaxis",0.27886459
"24","23","WALKING","meanAccelerationXaxis",0.273211884237288
"25","25","WALKING","meanAccelerationXaxis",0.278992759054054
"26","26","WALKING","meanAccelerationXaxis",0.279264443728814
"27","27","WALKING","meanAccelerationXaxis",0.276849485438596
"28","28","WALKING","meanAccelerationXaxis",0.281228223888889
"29","29","WALKING","meanAccelerationXaxis",0.271999916792453
"30","30","WALKING","meanAccelerationXaxis",0.276406758
"31","2","WALKING_UPSTAIRS","meanAccelerationXaxis",0.247164790395833
"32","4","WALKING_UPSTAIRS","meanAccelerationXaxis",0.270876696730769
"33","9","WALKING_UPSTAIRS","meanAccelerationXaxis",0.262436475714286
"34","10","WALKING_UPSTAIRS","meanAccelerationXaxis",0.267121853404255
"35","12","WALKING_UPSTAIRS","meanAccelerationXaxis",0.272970338653846
"36","13","WALKING_UPSTAIRS","meanAccelerationXaxis",0.258203939581818
"37","18","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265401201896552
"38","20","WALKING_UPSTAIRS","meanAccelerationXaxis",0.252098317156863
"39","24","WALKING_UPSTAIRS","meanAccelerationXaxis",0.269881106779661
"40","1","WALKING_UPSTAIRS","meanAccelerationXaxis",0.255461689622641
"41","3","WALKING_UPSTAIRS","meanAccelerationXaxis",0.260819873067797
"42","5","WALKING_UPSTAIRS","meanAccelerationXaxis",0.268459469914894
"43","6","WALKING_UPSTAIRS","meanAccelerationXaxis",0.268229355098039
"44","7","WALKING_UPSTAIRS","meanAccelerationXaxis",0.248706923078431
"45","8","WALKING_UPSTAIRS","meanAccelerationXaxis",0.258880152048781
"46","11","WALKING_UPSTAIRS","meanAccelerationXaxis",0.263775859277778
"47","14","WALKING_UPSTAIRS","meanAccelerationXaxis",0.26242106612963
"48","15","WALKING_UPSTAIRS","meanAccelerationXaxis",0.270187595833333
"49","16","WALKING_UPSTAIRS","meanAccelerationXaxis",0.255986102627451
"50","17","WALKING_UPSTAIRS","meanAccelerationXaxis",0.252604768583333
"51","19","WALKING_UPSTAIRS","meanAccelerationXaxis",0.242118808925
"52","21","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265194544680851
"53","22","WALKING_UPSTAIRS","meanAccelerationXaxis",0.248391534566667
"54","23","WALKING_UPSTAIRS","meanAccelerationXaxis",0.249995171031373
"55","25","WALKING_UPSTAIRS","meanAccelerationXaxis",0.277995411384615
"56","26","WALKING_UPSTAIRS","meanAccelerationXaxis",0.272691394545455
"57","27","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265770253921569
"58","28","WALKING_UPSTAIRS","meanAccelerationXaxis",0.262005841764706
"59","29","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265423066877551
"60","30","WALKING_UPSTAIRS","meanAccelerationXaxis",0.271415642261538
"61","2","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.27761534806383
"62","4","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.279965329555556
"63","9","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.295923445
"64","10","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.290401594315789
"65","12","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.281521097391304
"66","13","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.294907553404255
"67","18","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.288439468909091
"68","20","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.296144421355556
"69","24","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.288631208909091
"70","1","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.289188320408163
"71","3","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.292423484693878
"72","5","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.29354392712766
"73","6","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.277045258145833
"74","7","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.28030708
"75","8","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.283484089210526
"76","11","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.291605631956522
"77","14","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.293422115555556
"78","15","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.280198851190476
"79","16","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.295586802191489
"80","17","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.29391828326087
"81","19","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.262688053871795
"82","21","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.3014610196
"83","22","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.284458963861111
"84","23","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.289897411148148
"85","25","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.291329666206897
"86","26","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.2792845828
"87","27","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.2975441875
"88","28","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.293642076521739
"89","29","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.293140441083333
"90","30","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.283190646967742
"91","2","SITTING","meanAccelerationXaxis",0.27708735173913
"92","4","SITTING","meanAccelerationXaxis",0.27153827992
"93","9","SITTING","meanAccelerationXaxis",0.24832674354
"94","10","SITTING","meanAccelerationXaxis",0.270612056481481
"95","12","SITTING","meanAccelerationXaxis",0.275007224901961
"96","13","SITTING","meanAccelerationXaxis",0.274328499591837
"97","18","SITTING","meanAccelerationXaxis",0.27727001877193
"98","20","SITTING","meanAccelerationXaxis",0.278045439090909
"99","24","SITTING","meanAccelerationXaxis",0.273475690147059
"100","1","SITTING","meanAccelerationXaxis",0.261237565425532
"101","3","SITTING","meanAccelerationXaxis",0.257197599134615
"102","5","SITTING","meanAccelerationXaxis",0.273694139545455
"103","6","SITTING","meanAccelerationXaxis",0.276778487454545
"104","7","SITTING","meanAccelerationXaxis",0.284674637291667
"105","8","SITTING","meanAccelerationXaxis",0.267491472934783
"106","11","SITTING","meanAccelerationXaxis",0.276590197358491
"107","14","SITTING","meanAccelerationXaxis",0.279990577037037
"108","15","SITTING","meanAccelerationXaxis",0.27290337979661
"109","16","SITTING","meanAccelerationXaxis",0.280768574492754
"110","17","SITTING","meanAccelerationXaxis",0.2773570196875
"111","19","SITTING","meanAccelerationXaxis",0.273830316164384
"112","21","SITTING","meanAccelerationXaxis",0.277539616823529
"113","22","SITTING","meanAccelerationXaxis",0.273583822709677
"114","23","SITTING","meanAccelerationXaxis",0.273351251617647
"115","25","SITTING","meanAccelerationXaxis",0.278541482461538
"116","26","SITTING","meanAccelerationXaxis",0.258243530166667
"117","27","SITTING","meanAccelerationXaxis",0.273941302571429
"118","28","SITTING","meanAccelerationXaxis",0.276977629444444
"119","29","SITTING","meanAccelerationXaxis",0.2771799775
"120","30","SITTING","meanAccelerationXaxis",0.268336081379032
"121","2","STANDING","meanAccelerationXaxis",0.277911472222222
"122","4","STANDING","meanAccelerationXaxis",0.280499745892857
"123","9","STANDING","meanAccelerationXaxis",0.282310057333333
"124","10","STANDING","meanAccelerationXaxis",0.276650300681818
"125","12","STANDING","meanAccelerationXaxis",0.277405834918033
"126","13","STANDING","meanAccelerationXaxis",0.277758431052632
"127","18","STANDING","meanAccelerationXaxis",0.278458805890411
"128","20","STANDING","meanAccelerationXaxis",0.278076904657534
"129","24","STANDING","meanAccelerationXaxis",0.280348883913043
"130","1","STANDING","meanAccelerationXaxis",0.278917629056604
"131","3","STANDING","meanAccelerationXaxis",0.280046513278689
"132","5","STANDING","meanAccelerationXaxis",0.282544390892857
"133","6","STANDING","meanAccelerationXaxis",0.280346248596491
"134","7","STANDING","meanAccelerationXaxis",0.282723539433962
"135","8","STANDING","meanAccelerationXaxis",0.279620986111111
"136","11","STANDING","meanAccelerationXaxis",0.277715562765957
"137","14","STANDING","meanAccelerationXaxis",0.280545613833333
"138","15","STANDING","meanAccelerationXaxis",0.278915803962264
"139","16","STANDING","meanAccelerationXaxis",0.283497402948718
"140","17","STANDING","meanAccelerationXaxis",0.277942503333333
"141","19","STANDING","meanAccelerationXaxis",0.27817226
"142","21","STANDING","meanAccelerationXaxis",0.27695224258427
"143","22","STANDING","meanAccelerationXaxis",0.279053861587302
"144","23","STANDING","meanAccelerationXaxis",0.277899323235294
"145","25","STANDING","meanAccelerationXaxis",0.278013701621622
"146","26","STANDING","meanAccelerationXaxis",0.281127035405405
"147","27","STANDING","meanAccelerationXaxis",0.279566921625
"148","28","STANDING","meanAccelerationXaxis",0.277795069113924
"149","29","STANDING","meanAccelerationXaxis",0.277965065846154
"150","30","STANDING","meanAccelerationXaxis",0.277112699152542
"151","2","LAYING","meanAccelerationXaxis",0.281373403958333
"152","4","LAYING","meanAccelerationXaxis",0.263559214981481
"153","9","LAYING","meanAccelerationXaxis",0.2591955368
"154","10","LAYING","meanAccelerationXaxis",0.280230574137931
"155","12","LAYING","meanAccelerationXaxis",0.260113433
"156","13","LAYING","meanAccelerationXaxis",0.276716360483871
"157","18","LAYING","meanAccelerationXaxis",0.274691576923077
"158","20","LAYING","meanAccelerationXaxis",0.239507882205882
"159","24","LAYING","meanAccelerationXaxis",0.272850494930556
"160","1","LAYING","meanAccelerationXaxis",0.22159824394
"161","3","LAYING","meanAccelerationXaxis",0.275516852741935
"162","5","LAYING","meanAccelerationXaxis",0.278334325576923
"163","6","LAYING","meanAccelerationXaxis",0.248656520140351
"164","7","LAYING","meanAccelerationXaxis",0.250176694038462
"165","8","LAYING","meanAccelerationXaxis",0.261254282907407
"166","11","LAYING","meanAccelerationXaxis",0.280592970877193
"167","14","LAYING","meanAccelerationXaxis",0.233275439803922
"168","15","LAYING","meanAccelerationXaxis",0.2894756525
"169","16","LAYING","meanAccelerationXaxis",0.274227162571429
"170","17","LAYING","meanAccelerationXaxis",0.269780085577465
"171","19","LAYING","meanAccelerationXaxis",0.272653733493976
"172","21","LAYING","meanAccelerationXaxis",0.271325472455556
"173","22","LAYING","meanAccelerationXaxis",0.279959721194444
"174","23","LAYING","meanAccelerationXaxis",0.274038007986111
"175","25","LAYING","meanAccelerationXaxis",0.250791828613699
"176","26","LAYING","meanAccelerationXaxis",0.271645864540789
"177","27","LAYING","meanAccelerationXaxis",0.274102492432432
"178","28","LAYING","meanAccelerationXaxis",0.2759134825
"179","29","LAYING","meanAccelerationXaxis",0.287295196811594
"180","30","LAYING","meanAccelerationXaxis",0.281033900571429
"181","2","WALKING","meanAccelerationYaxis",-0.0185949199145763
"182","4","WALKING","meanAccelerationYaxis",-0.0148399475341667
"183","9","WALKING","meanAccelerationYaxis",-0.0180891971284423
"184","10","WALKING","meanAccelerationYaxis",-0.017022351190566
"185","12","WALKING","meanAccelerationYaxis",-0.015560927606
"186","13","WALKING","meanAccelerationYaxis",-0.0185660651947368
"187","18","WALKING","meanAccelerationYaxis",-0.0178023631866071
"188","20","WALKING","meanAccelerationYaxis",-0.021199992245098
"189","24","WALKING","meanAccelerationYaxis",-0.0225446400534483
"190","1","WALKING","meanAccelerationYaxis",-0.0173838185273684
"191","3","WALKING","meanAccelerationYaxis",-0.0171767844203448
"192","5","WALKING","meanAccelerationYaxis",-0.0172850317482679
"193","6","WALKING","meanAccelerationYaxis",-0.0168954189082456
"194","7","WALKING","meanAccelerationYaxis",-0.018653665345614
"195","8","WALKING","meanAccelerationYaxis",-0.0186628865310417
"196","11","WALKING","meanAccelerationYaxis",-0.0166475833623729
"197","14","WALKING","meanAccelerationYaxis",-0.0217785380966102
"198","15","WALKING","meanAccelerationYaxis",-0.0170809740090741
"199","16","WALKING","meanAccelerationYaxis",-0.0204286929452941
"200","17","WALKING","meanAccelerationYaxis",-0.0184875403339344
"201","19","WALKING","meanAccelerationYaxis",-0.0191773587903846
"202","21","WALKING","meanAccelerationYaxis",-0.0181610317526923
"203","22","WALKING","meanAccelerationYaxis",-0.0167213607957174
"204","23","WALKING","meanAccelerationYaxis",-0.0183618711932203
"205","25","WALKING","meanAccelerationYaxis",-0.0186477624716216
"206","26","WALKING","meanAccelerationYaxis",-0.0154259586949153
"207","27","WALKING","meanAccelerationYaxis",-0.0166478783221912
"208","28","WALKING","meanAccelerationYaxis",-0.0156759722981481
"209","29","WALKING","meanAccelerationYaxis",-0.0162915600588679
"210","30","WALKING","meanAccelerationYaxis",-0.0175880385730769
"211","2","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0214121132045833
"212","4","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0319804295729615
"213","9","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0195101099975714
"214","10","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0143854920340426
"215","12","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0263574903403846
"216","13","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0277392253910909
"217","18","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0222060684378914
"218","20","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0282258047588235
"219","24","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0251979434569492
"220","1","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0239531492643396
"221","3","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0324109410555932
"222","5","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0325269755153191
"223","6","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0272425385070588
"224","7","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0275639005607843
"225","8","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0282415136341463
"226","11","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0303157822055556
"227","14","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0204388180024074
"228","15","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0287523860708333
"229","16","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0143654945011765
"230","17","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0228645614308333
"231","19","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0303986615775
"232","21","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0237218695148936
"233","22","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0268622561133333
"234","23","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0323844029237255
"235","25","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0269863524264615
"236","26","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0281633797398182
"237","27","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0200953324078431
"238","28","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0279443943478431
"239","29","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0299465312326531
"240","30","WALKING_UPSTAIRS","meanAccelerationYaxis",-0.0253311698786154
"241","2","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0226614158361702
"242","4","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.00980200850666667
"243","9","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0203994269075476
"244","10","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0200050770710526
"245","12","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.018084266865793
"246","13","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0143723839108511
"247","18","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0168666920221818
"248","20","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.00964120773155556
"249","24","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0145730348310909
"250","1","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.00991850461020408
"251","3","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0193554079328571
"252","5","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.00850107533191489
"253","6","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.019536840063125
"254","7","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0166332372978723
"255","8","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0211058674973684
"256","11","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0178097721219565
"257","14","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0200141413657778
"258","15","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.00563047804309524
"259","16","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0183898583787234
"260","17","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0167359404347826
"261","19","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0145942275069487
"262","21","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0173195390157778
"263","22","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0197999371686389
"264","23","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0162111457238889
"265","25","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0210170522987931
"266","26","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.01262580966778
"267","27","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0135564467159091
"268","28","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0220230465913043
"269","29","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.01494121505625
"270","30","WALKING_DOWNSTAIRS","meanAccelerationYaxis",-0.0174383900204839
"271","2","SITTING","meanAccelerationYaxis",-0.0156879937282609
"272","4","SITTING","meanAccelerationYaxis",-0.007163065158
"273","9","SITTING","meanAccelerationYaxis",-0.02701677698
"274","10","SITTING","meanAccelerationYaxis",-0.015042681852037
"275","12","SITTING","meanAccelerationYaxis",-0.0157892988523529
"276","13","SITTING","meanAccelerationYaxis",-0.00587732936326531
"277","18","SITTING","meanAccelerationYaxis",-0.0128691279736842
"278","20","SITTING","meanAccelerationYaxis",-0.0147229305131818
"279","24","SITTING","meanAccelerationYaxis",-0.0131255097938235
"280","1","SITTING","meanAccelerationYaxis",-0.00130828765170213
"281","3","SITTING","meanAccelerationYaxis",-0.00350299841730769
"282","5","SITTING","meanAccelerationYaxis",-0.00990083527045455
"283","6","SITTING","meanAccelerationYaxis",-0.0145911615290909
"284","7","SITTING","meanAccelerationYaxis",-0.01461097580375
"285","8","SITTING","meanAccelerationYaxis",-0.00672550621304348
"286","11","SITTING","meanAccelerationYaxis",-0.0149195616754717
"287","14","SITTING","meanAccelerationYaxis",-0.00870565463888889
"288","15","SITTING","meanAccelerationYaxis",-0.0117188472271186
"289","16","SITTING","meanAccelerationYaxis",-0.0102497939956522
"290","17","SITTING","meanAccelerationYaxis",-0.014156274084375
"291","19","SITTING","meanAccelerationYaxis",-0.016739260030137
"292","21","SITTING","meanAccelerationYaxis",-0.0144009705494118
"293","22","SITTING","meanAccelerationYaxis",-0.0123468446419355
"294","23","SITTING","meanAccelerationYaxis",-0.0133945015676471
"295","25","SITTING","meanAccelerationYaxis",-0.0147696808030769
"296","26","SITTING","meanAccelerationYaxis",-0.00713364541358974
"297","27","SITTING","meanAccelerationYaxis",-0.0155269799285714
"298","28","SITTING","meanAccelerationYaxis",-0.0185404441258333
"299","29","SITTING","meanAccelerationYaxis",-0.016630680375
"300","30","SITTING","meanAccelerationYaxis",-0.00804731295322581
"301","2","STANDING","meanAccelerationYaxis",-0.0184208270166667
"302","4","STANDING","meanAccelerationYaxis",-0.00948911098553571
"303","9","STANDING","meanAccelerationYaxis",-0.0200454954022222
"304","10","STANDING","meanAccelerationYaxis",-0.0155418603409091
"305","12","STANDING","meanAccelerationYaxis",-0.0169002543196721
"306","13","STANDING","meanAccelerationYaxis",-0.0167891993964912
"307","18","STANDING","meanAccelerationYaxis",-0.0166353518150685
"308","20","STANDING","meanAccelerationYaxis",-0.0180695049161644
"309","24","STANDING","meanAccelerationYaxis",-0.0144785340348986
"310","1","STANDING","meanAccelerationYaxis",-0.0161375901037736
"311","3","STANDING","meanAccelerationYaxis",-0.0143376555065574
"312","5","STANDING","meanAccelerationYaxis",-0.00700418554517857
"313","6","STANDING","meanAccelerationYaxis",-0.0181236327175439
"314","7","STANDING","meanAccelerationYaxis",-0.0145740341037736
"315","8","STANDING","meanAccelerationYaxis",-0.0148113067148148
"316","11","STANDING","meanAccelerationYaxis",-0.0171990886595745
"317","14","STANDING","meanAccelerationYaxis",-0.01520781344
"318","15","STANDING","meanAccelerationYaxis",-0.0183516360396226
"319","16","STANDING","meanAccelerationYaxis",-0.0165999672935897
"320","17","STANDING","meanAccelerationYaxis",-0.0174120064169231
"321","19","STANDING","meanAccelerationYaxis",-0.0154244056945205
"322","21","STANDING","meanAccelerationYaxis",-0.0167084730205618
"323","22","STANDING","meanAccelerationYaxis",-0.0158563207496825
"324","23","STANDING","meanAccelerationYaxis",-0.0177475547867647
"325","25","STANDING","meanAccelerationYaxis",-0.0163569730274324
"326","26","STANDING","meanAccelerationYaxis",-0.0166608306652703
"327","27","STANDING","meanAccelerationYaxis",-0.016593236445
"328","28","STANDING","meanAccelerationYaxis",-0.0172635124672152
"329","29","STANDING","meanAccelerationYaxis",-0.0172605869061538
"330","30","STANDING","meanAccelerationYaxis",-0.0170163887813559
"331","2","LAYING","meanAccelerationYaxis",-0.0181587397583333
"332","4","LAYING","meanAccelerationYaxis",-0.0150031841055556
"333","9","LAYING","meanAccelerationYaxis",-0.020526821662
"334","10","LAYING","meanAccelerationYaxis",-0.024294484137931
"335","12","LAYING","meanAccelerationYaxis",-0.0175203917146667
"336","13","LAYING","meanAccelerationYaxis",-0.020440454366129
"337","18","LAYING","meanAccelerationYaxis",-0.0173937684615385
"338","20","LAYING","meanAccelerationYaxis",-0.0144406281132353
"339","24","LAYING","meanAccelerationYaxis",-0.0173555210111111
"340","1","LAYING","meanAccelerationYaxis",-0.0405139534294
"341","3","LAYING","meanAccelerationYaxis",-0.0189556785048387
"342","5","LAYING","meanAccelerationYaxis",-0.0183042123269231
"343","6","LAYING","meanAccelerationYaxis",-0.0102529170561404
"344","7","LAYING","meanAccelerationYaxis",-0.0204411516884615
"345","8","LAYING","meanAccelerationYaxis",-0.0212281733881481
"346","11","LAYING","meanAccelerationYaxis",-0.0176598052315789
"347","14","LAYING","meanAccelerationYaxis",-0.0113424652490196
"348","15","LAYING","meanAccelerationYaxis",-0.0166296542054167
"349","16","LAYING","meanAccelerationYaxis",-0.0166103510562857
"350","17","LAYING","meanAccelerationYaxis",-0.0168462006729577
"351","19","LAYING","meanAccelerationYaxis",-0.0171426864421687
"352","21","LAYING","meanAccelerationYaxis",-0.0184233048415556
"353","22","LAYING","meanAccelerationYaxis",-0.0142629864502778
"354","23","LAYING","meanAccelerationYaxis",-0.0216553835833333
"355","25","LAYING","meanAccelerationYaxis",-0.0188943663671233
"356","26","LAYING","meanAccelerationYaxis",-0.0191895728026316
"357","27","LAYING","meanAccelerationYaxis",-0.0179867611216216
